387,Czechoslovakia
388,England
389,France
390,Germany FR
391,Hungary
392,Italy
393,Korea Republic
394,Mexico
395,Scotland
396,Switzerland
397,Turkey
398,Uruguay
399,Yugoslavia
400,Bolivia
401,Brazil
402,Chile
403,England
404,Italy
405,Mexico
406,Paraguay
407,Spain
408,Sweden
409,Switzerland
410,Uruguay
411,USA
412,Yugoslavia
413,Belgium
414,Brazil
415,Cuba
416,Czechoslovakia
417,Dutch East Indies
418,France
419,Germany
420,Hungary
421,Italy
422,Netherlands
423,Norway
424,Poland
425,Romania
426,Sweden
427,Switzerland
428,Argentina
429,Austria
430,Belgium
431,Brazil
432,Czechoslovakia
433,Egypt
434,France
435,Germany
436,Hungary
437,Italy
438,Netherlands
439,Romania
440,Spain
441,Sweden
442,Switzerland
443,USA
444,Argentina
445,Belgium
446,Bolivia
447,Brazil
448,Chile
449,France
450,Mexico
451,Paraguay
452,Peru
453,Romania
454,Uruguay
455,USA
456,Yugoslavia
